,Gen #0,Gen #1,Gen #2,Gen #3,Gen #4,Gen #5
Total Shortfall,"[8677.066, 8576.234209101944, 8721.436750122202, 9056.95765906434, 9221.94987177808, 9828.92210522104, 9822.35086273344]","[5852.066000000001, 5751.234209101944, 5896.436750122202, 6231.957659064339, 6396.949871778081, 7003.92210522104, 6997.3508627334395]","[3027.0660000000007, 2926.2342091019436, 3071.4367501222023, 3406.957659064339, 3571.9498717780807, 4178.92210522104, 4172.3508627334395]","[202.0660000000007, 101.23420910194363, 246.43675012220228, 581.9576590643392, 746.9498717780807, 1353.9221052210396, 1347.3508627334395]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Power Supplied (1 Gen),"[2825, 2825, 2825, 2825, 2825, 2825, 2825]","[2825, 2825, 2825, 2825, 2825, 2825, 2825]","[2825, 2825, 2825, 2825, 2825, 2825, 2825]","[2825, 2825, 2825, 2825, 2825, 2825, 2825]","[202.0660000000007, 101.23420910194363, 246.43675012220228, 581.9576590643392, 746.9498717780807, 1353.9221052210396, 1347.3508627334395]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Fuel Consumption (1 Gen),"[192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646]","[192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646]","[192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646]","[192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646]","[66.3, 66.3, 66.3, 66.3, 66.3, 98.71963789237822, 98.35164831307262]","[0, 0, 0, 0, 0, 0, 0]"
