,Gen #0,Gen #1,Gen #2,Gen #3,Gen #4,Gen #5,,Sum Gen #0,Sum Gen #1,Sum Gen #2,Sum Gen #3,Sum Gen #4,Sum Gen #5
Total Shortfall,"[8677.066, 8576.234209101944, 8721.436750122202, 9056.95765906434, 9099.56360572455, 9429.652965424963, 9325.430556485167]","[5852.066000000001, 5751.234209101944, 5896.436750122202, 6231.957659064339, 6274.56360572455, 6604.6529654249625, 6500.4305564851675]","[3027.0660000000007, 2926.2342091019436, 3071.4367501222023, 3406.957659064339, 3449.56360572455, 3779.6529654249625, 3675.4305564851675]","[202.0660000000007, 101.23420910194363, 246.43675012220228, 581.9576590643392, 624.5636057245501, 954.6529654249625, 850.4305564851675]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,62886.34175,43111.34175,23336.34175,3561.341746,0,0
Power Supplied (1 Gen),"[2825, 2825, 2825, 2825, 2825, 2825, 2825]","[2825, 2825, 2825, 2825, 2825, 2825, 2825]","[2825, 2825, 2825, 2825, 2825, 2825, 2825]","[2825, 2825, 2825, 2825, 2825, 2825, 2825]","[202.0660000000007, 101.23420910194363, 246.43675012220228, 581.9576590643392, 624.5636057245501, 954.6529654249625, 850.4305564851675]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,19775,19775,19775,19775,3561.341746,0
Fuel Consumption (1 Gen),"[192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646]","[192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646]","[192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646]","[192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646]","[66.3, 66.3, 66.3, 66.3, 66.3, 76.3605660637979, 70.52411116316938]","[0, 0, 0, 0, 0, 0, 0]",,1345.490323,1345.490323,1345.490323,1345.490323,478.3846772,0
