,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-10234000.0,268759.7605664999,562467.3134184999,243504.5556999999,49548.45430675009,43142.68766880629,-104136.63256690852,-251421.37783269116,-257988.77154177096,-264702.5323797651,-271606.1293883292,-278660.3241724875,-285912.8659758697,-293324.7291747164,-300943.8811031542,-308731.5196801831,-320197.5686262576,-331852.5937857891,-340250.7241379337,-348858.807748882,-357682.0934501041,-368762.2714438566,-380068.5461337031,-389570.2597870456,-399309.5162817217,-409292.2541887646
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
