,wind power production
482,998.4300000000001
483,981.1400000000001
484,954.9300000000001
485,1048.32
486,1219.88
487,1298.49
488,1298.44
489,1298.75
490,1298.49
491,1298.43
492,1298.38
493,1298.02
494,1298.43
495,1298.3899999999999
496,1298.52
497,1298.5700000000002
498,1298.58
499,1298.48
500,1298.31
501,1286.9499999999998
502,1116.0300000000002
503,984.0899999999999
504,854.9300000000001
505,815.65
506,607.73
507,626.06
508,722.8599999999999
509,672.37
510,662.76
511,194.52
512,54.98
513,16.25
514,9.389999999999999
515,9.010000000000002
516,7.920000000000001
517,-5.8
518,-6.58
519,-7.21
520,-7.24
521,-6.22
522,13.57
523,8.72
524,-5.640000000000001
525,-7.09
526,-7.140000000000001
527,-7.15
528,-7.1899999999999995
529,-7.2
530,-5.88
531,9.030000000000001
532,20.33
533,11.23
534,14.100000000000001
535,19.98
536,17.59
537,18.9
538,18.93
539,16.99
540,10.690000000000001
541,13.7
542,22.479999999999997
543,38.699999999999996
544,172.85
545,407.51
546,483.70000000000005
547,663.35
548,690.19
549,436.84
550,724.59
551,583.59
552,388.88
553,267.87
554,194.64
555,175.48000000000002
556,166.84
557,73.34
558,48.25
559,34.25
560,67.34
561,227.36
562,737.5699999999999
563,756.3399999999999
564,782.02
565,1168.1100000000001
566,1197.38
567,1197.9499999999998
568,1197.8200000000002
569,1196.88
570,1193.13
571,1195.7800000000002
572,700.8599999999999
573,213.01
574,132.26
575,627.39
576,738.3199999999999
577,733.04
578,812.49
579,523.15
580,410.38
581,252.97
582,142.14
583,135.32
584,310.49
585,348.64
586,121.9
587,6.77
588,24.38
589,14.370000000000001
590,-6.5600000000000005
591,-7.13
592,5.82
593,56.269999999999996
594,40.95
595,2.98
596,18.68
597,32.480000000000004
598,28.46
599,-3.9000000000000004
600,-6.01
601,-6.99
602,-7.02
603,-7.04
604,-7.05
605,-7.0600000000000005
606,-7.0600000000000005
607,-7.05
608,-7.05
609,-7.05
610,-6.29
611,-5.76
612,-6.99
613,-7.03
614,-7.050000000000001
615,-7.05
616,-7.0600000000000005
617,-7.08
618,-7.08
619,-7.07
620,-7.05
621,-7.0600000000000005
622,-7.07
623,-7.07
624,-7.07
625,-6.41
626,-1.06
627,-0.29
628,-4.95
629,192.79000000000002
630,286.15999999999997
631,334.19
632,84.53
633,95.1
634,67.59
635,22.69
636,-6.9
637,-7.09
638,-7.140000000000001
639,25.33
640,81.36
641,2.67
642,56.83
643,-6.880000000000001
644,-0.10000000000000009
645,-6.77
646,-2.21
647,-5.55
648,1.94
649,93.87
650,54.28
651,-1.58
652,-6.300000000000001
653,1.4500000000000002
654,7.03
655,1.1199999999999999
656,16.11
657,3.94
658,22.78
659,35.61
660,275.8
661,44.45
662,-2.62
663,84.17
664,16.66
665,143.81
666,220.76999999999998
667,257.21
668,81.34
669,37.379999999999995
670,-1.33
671,-4.27
672,19.21
673,-4.2700000000000005
674,-0.24
675,72.03
676,81.74000000000001
677,-3.89
678,-2.5199999999999996
679,-7.26
680,0.8600000000000001
681,-2.3800000000000003
682,-3.95
683,-7.29
684,23.81
685,7.4399999999999995
686,5.8100000000000005
687,-5.79
688,70.97
689,156.52
690,-7.29
691,-7.300000000000001
692,-7.3100000000000005
693,-7.32
694,-7.33
695,-7.34
696,-7.359999999999999
697,-7.359999999999999
698,-7.359999999999999
699,-7.359999999999999
700,-7.369999999999999
701,-7.38
702,-7.39
703,-7.39
704,-7.39
705,-5.859999999999999
706,-7.33
707,-7.35
708,-7.37
709,-7.4
710,-7.41
711,-1.88
712,95.16
713,120.68
714,347.62
715,408.72
716,158.89
717,77.67
718,297.15999999999997
719,601.04
720,362.26
721,256.72
722,175.97000000000003
723,125.69999999999999
724,186.45
725,334.52
726,882.95
727,863.28
728,988.06
729,1254.3400000000001
730,1365.4099999999999
731,1292.49
732,1512.62
733,1592.94
734,1598.3400000000001
735,1598.3600000000001
736,1362.71
737,592.63
738,1130.28
739,1567.53
740,1598.6799999999998
741,1419.6999999999998
742,1357.7
743,1198.0900000000001
744,1124.3400000000001
745,936.85
746,898.54
747,899.01
748,683.86
749,848.1199999999999
750,554.8
751,1174.09
752,699.86
753,699.63
754,698.97
755,699.06
756,698.8199999999999
757,698.94
758,699.31
759,390.45
760,320.69
761,686.21
762,443.84000000000003
763,699.24
764,699.5
765,699.73
766,699.29
767,699.05
768,498.3
769,397.18
770,222.66
771,-2.39
772,53.949999999999996
773,-2.21
774,-2.23
775,25.65
776,397.05999999999995
777,592.65
778,663.86
779,2.8499999999999996
780,-2.2199999999999998
781,-0.76
782,-0.77
783,-0.91
784,109.22
785,360.34
786,56.4
787,-0.78
788,-0.74
789,-0.73
790,-0.79
791,-0.28
792,-0.19
793,-0.19
794,-0.19
795,-0.19
796,-0.19
797,-0.19
798,-0.19
799,267.36
800,87.33999999999999
801,263.39
802,285.0
803,-1.69
804,50.510000000000005
805,347.54
806,428.42999999999995
807,-0.9
808,0.0
809,0.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,0.0
826,0.0
827,0.0
828,0.0
829,0.0
