,Gen #0,Gen #1,Gen #2,Gen #3,Gen #4,Gen #5,,Sum Gen #0,Sum Gen #1,Sum Gen #2,Sum Gen #3,Sum Gen #4,Sum Gen #5
Total Shortfall,"[6970.2108595127975, 5611.859754998299, 5216.7168532936375, 6102.898761973083, 7407.158443954386, 8048.063482390347, 7593.854905700067, 7540.4687101879845, 7642.669302022496, 5862.1262541797005, 5696.641724681131, 5742.71411020648, 5247.666045964193, 4948.359493267687, 5574.793130572007, 6329.110777086191, 3956.95345375513, 4464.472903638246, 3963.2149620743203, 5757.684419578949, 4236.883529951846, 6161.459776486419, 4587.433430079502, 3725.970963527535, 6839.341849275068, 7257.028743971694, 7460.185585668811, 7014.1805855533785, 7726.026981921956, 7783.700000000001, 7664.219999999999, 7214.008, 6805.475, 6051.52, 5775.646000000001, 5586.759, 5575.591, 5580.072, 5628.581, 5245.079854830868, 4040.6512695236506, 3632.736425206618, 3670.224475677367, 3809.2597145570353, 3843.8158261921435, 3678.561053488511, 3641.158294823961, 3770.011686992644]","[4145.2108595127975, 2786.8597549982987, 2391.7168532936375, 3277.8987619730833, 4582.158443954386, 5223.063482390347, 4768.854905700067, 4715.4687101879845, 4817.669302022496, 3037.1262541797005, 2871.6417246811307, 2917.7141102064797, 2422.6660459641926, 2123.359493267687, 2749.7931305720067, 3504.110777086191, 1131.9534537551299, 1639.472903638246, 1138.2149620743203, 2932.684419578949, 1411.883529951846, 3336.4597764864193, 1762.4334300795017, 900.9709635275349, 4014.341849275068, 4432.028743971694, 4635.185585668811, 4189.1805855533785, 4901.026981921956, 4958.700000000001, 4839.219999999999, 4389.008, 3980.4750000000004, 3226.5200000000004, 2950.6460000000006, 2761.759, 2750.5910000000003, 2755.072, 2803.581, 2420.0798548308676, 1215.6512695236506, 807.7364252066182, 845.2244756773671, 984.2597145570353, 1018.8158261921435, 853.5610534885109, 816.1582948239611, 945.0116869926442]","[1320.2108595127975, 0.0, 0.0, 452.8987619730833, 1757.1584439543858, 2398.0634823903474, 1943.8549057000673, 1890.4687101879845, 1992.6693020224957, 212.12625417970048, 46.641724681130654, 92.71411020647975, 0.0, 0.0, 0.0, 679.1107770861909, 0.0, 0.0, 0.0, 107.68441957894902, 0.0, 511.4597764864193, 0.0, 0.0, 1189.341849275068, 1607.028743971694, 1810.1855856688107, 1364.1805855533785, 2076.0269819219557, 2133.7000000000007, 2014.2199999999993, 1564.0079999999998, 1155.4750000000004, 401.52000000000044, 125.64600000000064, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,273683.2204,138083.2204,28846.39427,0,0,0
Power Supplied (1 Gen),"[2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825]","[2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825]","[2825, 2786.8597549982987, 2391.7168532936375, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2422.6660459641926, 2123.359493267687, 2749.7931305720067, 2825, 1131.9534537551299, 1639.472903638246, 1138.2149620743203, 2825, 1411.883529951846, 2825, 1762.4334300795017, 900.9709635275349, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2761.759, 2750.5910000000003, 2755.072, 2803.581, 2420.0798548308676, 1215.6512695236506, 807.7364252066182, 845.2244756773671, 984.2597145570353, 1018.8158261921435, 853.5610534885109, 816.1582948239611, 945.0116869926442]","[1320.2108595127975, 0.0, 0.0, 452.8987619730833, 1757.1584439543858, 2398.0634823903474, 1943.8549057000673, 1890.4687101879845, 1992.6693020224957, 212.12625417970048, 46.641724681130654, 92.71411020647975, 0.0, 0.0, 0.0, 679.1107770861909, 0.0, 0.0, 0.0, 107.68441957894902, 0.0, 511.4597764864193, 0.0, 0.0, 1189.341849275068, 1607.028743971694, 1810.1855856688107, 1364.1805855533785, 2076.0269819219557, 2133.7000000000007, 2014.2199999999993, 1564.0079999999998, 1155.4750000000004, 401.52000000000044, 125.64600000000064, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,135600,135600,109236.8261,28846.39427,0,0
Fuel Consumption (1 Gen),"[192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646]","[192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646]","[192.21290322580646, 189.3437725372914, 159.61882909292783, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 161.94700707059667, 142.91785967447632, 186.5554058223845, 192.21290322580646, 86.28939341028727, 114.88365596562225, 86.64003787616194, 192.21290322580646, 101.96547767730337, 192.21290322580646, 122.00743356202533, 73.35437395754195, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 187.455548, 186.61542619354842, 186.95251303225808, 190.60164167741937, 161.7524587569543, 90.97647109332443, 68.13323981157062, 70.23257063793255, 78.01854401519398, 79.95368626676003, 70.69941899535661, 68.60486451014182, 75.82065447158807]","[96.83180813271666, 0, 0, 66.3, 121.7018246884541, 160.0962593849771, 132.51817453668778, 129.42521946766516, 135.34626020749684, 66.3, 66.3, 66.3, 0, 0, 0, 66.3, 0, 0, 0, 66.3, 0, 66.3, 0, 0, 89.50314355940381, 113.00398787655362, 124.77397780197369, 99.2941127909892, 140.1756277268333, 143.5169419354839, 136.5948103225806, 110.5115602580645, 87.60660000000001, 66.3, 66.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,9226.219355,9226.219355,7554.449962,2417.600309,0,0
