,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Curtailment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shortfall,9795.210859512797,8436.859754998299,8041.7168532936375,8927.898761973083,10232.158443954386,10873.063482390347,10418.854905700067,10365.468710187984,10467.669302022496,8687.1262541797,8521.64172468113,8567.71411020648,8072.666045964193,7773.359493267687,8399.793130572007,9154.11077708619,6781.95345375513,7289.472903638246,6788.21496207432,8582.684419578949,7061.883529951846,8986.45977648642,7412.433430079502,6550.970963527535,9664.341849275068,10082.028743971694,10285.18558566881,9839.180585553378,10551.026981921956,10608.7,10489.22,10039.008,9630.475,8876.52,8600.646,8411.759,8400.591,8405.072,8453.581,8070.079854830868,6865.651269523651,6457.736425206618,6495.224475677367,6634.259714557035,6668.8158261921435,6503.561053488511,6466.158294823961,6595.011686992644
Wind + PV + Storage,2548.644140487201,3799.0172450017017,4001.1571467063623,2926.622238026918,1531.8145560456148,803.8325176096527,916.5530942999329,474.8422898120157,55.51269797750503,248.35774582029944,292.7012753188696,271.3148897935214,734.9439540358079,1126.2185067323123,609.5598694279922,97.85522291380951,3046.4185462448695,3057.8190963617535,3901.9360379256796,2173.339580421051,3817.3014700481535,1829.4052235135798,3249.8685699204975,4068.9510364724656,978.8421507249304,661.007256028306,530.5454143311898,824.4784144466215,93.08801807804359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.154145169133,2319.9767304763504,3113.538574793381,3490.0695243226332,3598.4712854429645,3582.5111738078554,3533.1539465114897,3533.1007051760384,3251.3743130073562
Wind + PV Generation,2548.644140487201,3799.0172450017017,4001.1571467063623,2926.622238026918,1531.8145560456148,803.8325176096527,916.5530942999329,474.8422898120157,55.51269797750503,248.35774582029944,292.7012753188696,271.3148897935214,734.9439540358079,1126.2185067323123,609.5598694279922,97.85522291380951,3046.4185462448695,3057.8190963617535,3901.9360379256796,2173.339580421051,3817.3014700481535,1829.4052235135798,3249.8685699204975,4068.9510364724656,978.8421507249304,661.007256028306,530.5454143311898,824.4784144466215,93.08801807804359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.154145169133,2319.9767304763504,3113.538574793381,3490.0695243226332,3598.4712854429645,3582.5111738078554,3533.1539465114897,3533.1007051760384,3251.3743130073562
Load,12343.855,12235.877,12042.874,11854.521,11763.973,11676.896,11335.408,10840.311,10523.182,8935.484,8814.343,8839.029,8807.61,8899.578,9009.353,9251.966,9828.372,10347.292,10690.151,10756.024,10879.185,10815.865,10662.302,10619.922,10643.184,10743.036,10815.731,10663.659,10644.115,10608.7,10489.22,10039.008,9630.475,8876.52,8600.646,8411.759,8400.591,8405.072,8453.581,8679.234,9185.628,9571.275,9985.294,10232.731,10251.327,10036.715,9999.259,9846.386
State of Charge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery Used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
