,Gen #0,Gen #1,Gen #2,Gen #3,Gen #4,Gen #5
Total Shortfall,"[8072.973090307225, 8487.982301073122, 8372.711846536631, 8684.244357117996, 8590.507110997496, 8048.063482390347, 7593.854905700067, 7540.4687101879845, 7642.669302022496, 5862.1262541797005, 5696.641724681131, 5742.71411020648, 5247.666045964193, 4948.359493267687, 5574.793130572007, 6349.232249435527, 6217.000647486955, 7266.2535886884725, 7766.663621951764, 7878.258446536782, 7959.577413760633, 7648.236490777112, 7837.302, 7262.169224657555, 7495.456262984762, 7918.036, 7990.731, 7838.659, 7819.115, 7783.700000000001, 7664.219999999999, 7214.008, 6805.475, 6051.52, 5775.646000000001, 5586.759, 5575.591, 5580.072, 5628.581, 5814.558809337692, 6360.628000000001, 6746.275, 7160.294, 7407.731, 7426.326999999999, 7211.715, 7174.259, 6935.302534361344]","[5247.973090307225, 5662.982301073122, 5547.711846536631, 5859.244357117996, 5765.507110997496, 5223.063482390347, 4768.854905700067, 4715.4687101879845, 4817.669302022496, 3037.1262541797005, 2871.6417246811307, 2917.7141102064797, 2422.6660459641926, 2123.359493267687, 2749.7931305720067, 3524.2322494355267, 3392.000647486955, 4441.2535886884725, 4941.663621951764, 5053.258446536782, 5134.577413760633, 4823.236490777112, 5012.302, 4437.169224657555, 4670.456262984762, 5093.036, 5165.731, 5013.659, 4994.115, 4958.700000000001, 4839.219999999999, 4389.008, 3980.4750000000004, 3226.5200000000004, 2950.6460000000006, 2761.759, 2750.5910000000003, 2755.072, 2803.581, 2989.558809337692, 3535.6280000000006, 3921.2749999999996, 4335.294, 4582.731, 4601.326999999999, 4386.715, 4349.259, 4110.302534361344]","[2422.973090307225, 2837.9823010731216, 2722.711846536631, 3034.2443571179956, 2940.507110997496, 2398.0634823903474, 1943.8549057000673, 1890.4687101879845, 1992.6693020224957, 212.12625417970048, 46.641724681130654, 92.71411020647975, 0.0, 0.0, 0.0, 699.2322494355267, 567.0006474869551, 1616.2535886884725, 2116.663621951764, 2228.258446536782, 2309.577413760633, 1998.2364907771116, 2187.3019999999997, 1612.1692246575549, 1845.4562629847624, 2268.036, 2340.7309999999998, 2188.6589999999997, 2169.115, 2133.7000000000007, 2014.2199999999993, 1564.0079999999998, 1155.4750000000004, 401.52000000000044, 125.64600000000064, 0.0, 0.0, 0.0, 0.0, 164.55880933769186, 710.6280000000006, 1096.2749999999996, 1510.2939999999999, 1757.7309999999998, 1776.3269999999993, 1561.7150000000001, 1524.259, 1285.3025343613444]","[0.0, 12.982301073121562, 0.0, 209.2443571179956, 115.50711099749606, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Power Supplied (1 Gen),"[2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825]","[2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825]","[2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2422.6660459641926, 2123.359493267687, 2749.7931305720067, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2761.759, 2750.5910000000003, 2755.072, 2803.581, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825, 2825]","[2422.973090307225, 2825, 2722.711846536631, 2825, 2825, 2398.0634823903474, 1943.8549057000673, 1890.4687101879845, 1992.6693020224957, 212.12625417970048, 46.641724681130654, 92.71411020647975, 0.0, 0.0, 0.0, 699.2322494355267, 567.0006474869551, 1616.2535886884725, 2116.663621951764, 2228.258446536782, 2309.577413760633, 1998.2364907771116, 2187.3019999999997, 1612.1692246575549, 1845.4562629847624, 2268.036, 2340.7309999999998, 2188.6589999999997, 2169.115, 2133.7000000000007, 2014.2199999999993, 1564.0079999999998, 1155.4750000000004, 401.52000000000044, 125.64600000000064, 0.0, 0.0, 0.0, 0.0, 164.55880933769186, 710.6280000000006, 1096.2749999999996, 1510.2939999999999, 1757.7309999999998, 1776.3269999999993, 1561.7150000000001, 1524.259, 1285.3025343613444]","[0.0, 12.982301073121562, 0.0, 209.2443571179956, 115.50711099749606, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Fuel Consumption (1 Gen),"[192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646]","[192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646]","[192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 161.94700707059667, 142.91785967447632, 186.5554058223845, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 187.455548, 186.61542619354842, 186.95251303225808, 190.60164167741937, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646, 192.21290322580646]","[161.9701047289177, 192.21290322580646, 184.5181943910782, 192.21290322580646, 192.21290322580646, 160.0962593849771, 132.51817453668778, 129.42521946766516, 135.34626020749684, 66.3, 66.3, 66.3, 0, 0, 0, 66.3, 66.3, 113.53843371885473, 142.52993112985058, 148.99523128967934, 153.70648500368054, 135.66879798179653, 146.62239974193545, 113.30180411241834, 126.8174015587301, 151.2997630967742, 155.7833771612903, 146.70101819354835, 145.56872709677418, 143.5169419354839, 136.5948103225806, 110.5115602580645, 87.60660000000001, 66.3, 66.3, 0, 0, 0, 0, 66.3, 66.3, 84.29139999999998, 107.47646399999999, 121.73499599999998, 122.81236425806448, 110.3787141935484, 108.258504, 94.8769419242353]","[0, 66.3, 0, 66.3, 66.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
