,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-2894760.0,82967.5604841116,165513.7089286125,78760.37394204976,23356.698742571018,25001.5587468963,-17210.14580763939,-59428.91183898719,-57846.35065835796,-60314.82996420603,-58838.69878963209,-137490.94542125048,-140129.07749718893,-142818.1417560743,-145571.7647708704,-148379.0303523898,-152232.80534499366,-156146.1388208825,-159144.402600561,-162208.28108538757,-165339.3212240974,-169115.09257595523,-172961.2336319016,-176303.4225139593,-179719.34769848105,-183210.75440883258
Solar,-5525000.0,1366869.5685001072,212641.2140632957,63064.98528686617,-27772.410358402667,-30495.040541780123,-99358.02897007791,-168188.48621720076,-170891.96647009137,-173636.88054716482,-176445.59099008708,-179295.78003826103,-182212.06167014234,-185172.1721740162,-188200.7808948768,-191275.68083781033,-196290.47213579156,-201359.99775481637,-204622.58403430122,-207948.47116569188,-211339.05903223512,-215895.11756287847,-220518.77691827377,-224112.20207187344,-227776.26741161954,-231512.54698773875
