,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-2924000.0,76788.503019,160704.94669100002,69572.73019999999,14156.70123050001,12326.482191087562,-29753.323590545275,-71834.67938076891,-73711.07758336313,-75629.29496564719,-77601.75125380837,-79617.23547785357,-81689.39027881989,-83807.0654784904,-85983.96602947263,-88209.00562290946,-91485.01960750218,-94815.02679593975,-97214.4926108382,-99673.94507110916,-102194.88384288689,-105360.64898395902,-108591.013181058,-111305.78851058445,-114088.43322334906,-116940.64405393277
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
